@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
70,'2026/06/17 14:41:33:058',4,0,0,14.978159,10.436001,12.192554,8.500236,0,7.544441,9.550694,0,6.010553,5.187689,0,1.439137,0,0,0,0,0,3.24934,0,0,1.867897,0.827323,0,0,0,1.729262,0,0,3
71,'2026/06/17 14:41:33:105',4,0,0,10.128111,9.786143,11.234735,3.757253,3.818028,5.682852,4.877099,0,0,2.06698,0,1.320101,0,0,0,0,0,0.912675,0,0,0.690829,0.443435,0,0,0.474309,2.450159,0,0,3
72,'2026/06/17 14:41:33:138',4,0,0,3.456121,0,2.008363,0,0,0,0.086412,0,0,0,0,0.152372,0.029505,0,0,2.933846,0,0,0,0,0,0.550153,0,1.451337,1.904854,1.506192,0.523639,0,3
73,'2026/06/17 14:41:33:187',4,15.219385,0,3.445576,3.3301,7.634565,7.882872,6.35909,2.208954,5.034051,0,0,0.843,0,1.763898,0,0,0,0,0,0,2.665651,0,0.175306,1.55952,0,0,1.153581,1.892406,1.874388,3.045513,3
74,'2026/06/17 14:41:33:231',4,0,0,20.728279,12.690159,8.818141,5.896714,2.56558,7.445805,8.206583,0,8.665341,6.982522,0,0.137629,0,0,0,0,0,2.994365,0,0,0.802151,1.18377,0,0,0,0.24789,0,0.485635,3
75,'2026/06/17 14:41:33:279',4,0,0,11.745555,5.195363,5.339337,1.933162,2.286418,1.565738,2.528484,0,3.990224,6.107341,0,0,0,0,0,0,0,1.248372,0,0,0.140402,0.102448,0,0,0.035087,0.80183,0,0,3
76,'2026/06/17 14:41:33:328',4,0,0,3.074181,0,0.73253,0,0,0,0.24587,0.851328,0,0.823432,0,0,0.14482,0,0,0.540633,0,0,0.140333,0,0,0.440043,0,0.998541,0.199178,1.404656,0.740161,1.011981,3
77,'2026/06/17 14:41:33:374',4,15.978778,0,3.81286,4.854936,10.86219,5.570493,4.55456,0,4.100899,0.783058,1.481394,3.424568,0,0.824497,0,0.077357,1.401401,0,0,0,0,0,1.286681,1.466235,0,0,0,2.374722,2.943001,3.075361,3
78,'2026/06/17 14:41:33:419',4,0,0,13.895924,11.521457,7.949201,2.597215,0.199033,5.279717,8.104892,1.429721,5.619655,5.666616,0.586186,0.341847,0,0,0,0,0,1.835071,0,0,1.271267,1.216998,0,0,0,1.41312,0.236375,0,3
79,'2026/06/17 14:41:33:480',4,0,0,11.419935,5.468687,3.919661,0,1.81347,1.695325,0,0,2.153254,4.413404,0,0.184341,0,0,0,0,0,0.306299,0,0,0.566597,0,0,0,0.77901,1.926467,0,0.493628,3
80,'2026/06/17 14:41:33:527',4,0,0,2.793065,0,0,0,0,0,0.972379,0,0,0,0,1.107471,0.334886,2.017805,1.123553,0.469354,0,0,0,0.962201,0.402539,1.410986,0,1.888075,2.685178,0.694906,0.849758,1.16104,3
81,'2026/06/17 14:41:33:574',4,13.122733,0,1.627573,1.53211,9.866942,7.976854,13.315725,2.731972,1.743786,0,0,0.886034,0,0,0,0,0,0,1.325251,3.527941,1.603573,0,0,1.007362,0,0.420182,4.297162,2.622492,0,0,3
82,'2026/06/17 14:41:33:608',4,0,0,13.186933,11.041247,5.748227,3.706102,0,5.604234,7.660153,0,5.275662,6.048169,0,0,0,0,0,0,0,3.53917,1.182039,0,0,1.374929,0.230764,1.407916,0.251188,0.953653,0,0,3
83,'2026/06/17 14:41:33:654',4,0,0,11.711926,3.665959,0.683257,0,0.768975,2.701073,1.444134,0,3.006822,2.607061,0,0.948554,0,0,0,0,0,0,0,0,0,0.31877,0,0,0,0,0,0,3
84,'2026/06/17 14:41:33:701',4,0,0,4.938748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.121373,0,0,0,0,0,0,0,1.549832,1.798493,0,0,0,3
85,'2026/06/17 14:41:33:749',4,5.63209,0,1.476674,4.559353,4.232901,3.16368,8.54095,4.396475,8.596421,6.587598,0,0,0,0.461478,0,0,0.674003,0,0,0.37679,1.648974,0.477327,1.628319,0,0.122521,0.725193,1.383592,0.953446,0,0,3
86,'2026/06/17 14:41:33:796',4,0,0,11.048266,9.957161,10.169447,4.781938,0.679339,3.538625,5.290478,0,4.479335,3.353339,0,0.991777,0,0,0,0,0,0,0,0,0.042753,1.501994,0.607516,0,0,0.306672,0,0,3
87,'2026/06/17 14:41:33:844',4,0,0,8.191337,4.981457,2.729013,0.954609,0,3.163965,4.378883,0.881221,2.008079,3.759732,0,2.039497,0,0,0,0,0,0.394526,0,0,0.637312,0.761859,0,0.308989,0,1.403003,0,0,3
88,'2026/06/17 14:41:33:891',4,0,0,5.145504,0.088375,0.667249,0,0,0.535497,2.319005,1.182912,0,1.566747,0,1.00747,0,0,0.863303,1.2581,0,0,0,0.222829,1.344753,0,0,0,0.682578,0.710767,0.10805,0.021217,3
